(1,0.754578899429362)
(2,0.6122175446494937)
(3,0.5695609173299336)
(4,0.5467923682239908)
(5,0.5290596221509479)
(6,0.5100127271487506)
(7,0.48375209948066733)
(8,0.44636891605664303)
(9,0.4052265942148736)
(10,0.37155937339642486)
(11,0.35674247607749215)
(12,0.29268852775639137)
(13,0.27320086324352644)
(14,0.24606754470494735)
(15,0.2262523086665554)
(16,0.21448750520632925)
(17,0.18696913544477506)
(18,0.17423359996080043)
(19,0.15895860008746718)
(20,0.1510979332257737)
(21,0.1443438778394664)
(22,0.14094451040877287)
(23,0.1355023264725256)
(24,0.12920042791242084)
(25,0.1215325016683823)
(26,0.11918999606215117)
(27,0.10800260465566947)
(28,0.10305069830769961)
(29,0.10020029968654669)
(30,0.09689204335027476)
(31,0.09216283739282019)
(32,0.09019566732742837)
(33,0.0868801752074617)
(34,0.08288983830599479)
(35,0.07915995293545905)
(36,0.07747580992291707)
(37,0.07655367214132053)
(38,0.07518778649219114)
(39,0.07450449618221987)
(40,0.07348948083689907)
(41,0.072719595759809)
(42,0.07230963129088087)
(43,0.07157225614542123)
(44,0.07028662932313867)
(45,0.06805914588667966)
(46,0.06735743939705216)
(47,0.06659953859248781)
(48,0.06608440495147398)
(49,0.0657341588445228)
(50,0.06533683476139582)
(51,0.06475293601315521)
(52,0.06448370442070941)
(53,0.06415592136091508)
(54,0.063722509241541)
(55,0.06348391837320182)
(56,0.06333437333046704)
(57,0.06299983987282136)
(58,0.0625120783400213)
(59,0.06185723634603254)
(60,0.060228632738970535)
(61,0.059852090935899806)
(62,0.05958207773333424)
(63,0.059167778736321903)
(64,0.05895089807807089)
(65,0.05857473011115346)
(66,0.05829236088833292)
(67,0.05814212440825059)
(68,0.057799749467420565)
(69,0.05720745022757276)
(70,0.05657746902826289)
(71,0.05596362569717149)
(72,0.05569342325345425)
(73,0.0555105304395365)
(74,0.05542360788769419)
(75,0.05526862348284225)
(76,0.05446144761792879)
(77,0.0541162860866597)
(78,0.05394447935250333)
(79,0.05383555483725285)
(80,0.05364040634297565)
(81,0.053478190708841584)
(82,0.053389482898076844)
(83,0.05320193543477713)
(84,0.05302316835213029)
(85,0.05272778518626478)
(86,0.05260801905570687)
(87,0.052525241792383326)
(88,0.05235950603551298)
(89,0.052244787646935055)
(90,0.05218256088832839)
(91,0.05203645443867353)
(92,0.05178333069036005)
(93,0.05142680942281713)
(94,0.051167228197839885)
(95,0.05106038834454972)
(96,0.050970057841155755)
(97,0.05088778720010403)
(98,0.05073182282488936)
(99,0.05061096867153285)
(100,0.05042751799636151)
(101,0.05034270028892163)
(102,0.0502661861966589)
(103,0.0500979993763713)
(104,0.050035556233887134)
(105,0.04993015275820802)
(106,0.04972263362887158)
(107,0.049285438014536484)
(108,0.04914518032492052)
(109,0.049017756459286486)
(110,0.048907916083592164)
(111,0.04884503432131566)
(112,0.04875244055103624)
(113,0.0485907007900111)
(114,0.04824653112848154)
(115,0.04768500341048379)
(116,0.04740293910470685)
(117,0.04723777866021385)
(118,0.04716405200795978)
(119,0.04711738719615026)
(120,0.04701364129048588)
(121,0.04693019558729466)
(122,0.046776196094072214)
(123,0.04671767056492616)
(124,0.04666980831508545)
(125,0.04654869758816513)
(126,0.04650469479797607)
(127,0.046426189706180156)
(128,0.04626912959975533)
(129,0.04593241870019355)
(130,0.045817816694461645)
(131,0.045738900684782126)
(132,0.04567745994580548)
(133,0.045588546221426524)
(134,0.04548204636825465)
(135,0.045429834514018386)
(136,0.04536142555385492)
(137,0.04524010905099672)
(138,0.04514529704241748)
(139,0.04438461205035634)
(140,0.044193416000126495)
(141,0.04405510705553161)
(142,0.044002392755059815)
(143,0.04394352933568792)
(144,0.043827633350328715)
(145,0.04348621088741246)
(146,0.0433416160671219)
(147,0.0432395354725538)
(148,0.04317542290418356)
(149,0.04312635977100564)
(150,0.04309173486115041)
(151,0.04301622743845421)
(152,0.042906925134391684)
(153,0.042831044404658555)
(154,0.04271455278283349)
(155,0.042639696496842724)
(156,0.04258555422425578)
(157,0.04254993162331992)
(158,0.04247122719616665)
(159,0.04232063570394928)
(160,0.0420910618923462)
(161,0.04186329085142039)
(162,0.041642402556276256)
(163,0.04157032271237673)
(164,0.0415304632757102)
(165,0.041492916765554076)
(166,0.04141324918867706)
(167,0.04138215382221193)
(168,0.041330539858842164)
(169,0.04122948499695986)
(170,0.0409915236423574)
